,Inst
0,aaa
1,aad
2,aam
3,aas
4,adc
5,add
6,align
7,and
8,arpl
9,bsr
10,bswap
11,call
12,cdq
13,clc
14,cld
15,cli
16,cmc
17,cmovnp
18,cmp
19,cmpsb
20,cmpsd
21,cpuid
22,cwde
23,daa
24,das
25,db
26,dd
27,dec
28,div
29,dq
30,dw
31,end
32,enter
33,extrn
34,fadd
35,fcmovnbe
36,fcmovne
37,fcom
38,fcomp
39,fdiv
40,fdivrp
41,fiadd
42,ficom
43,ficomp
44,fidivr
45,fild
46,fimul
47,fist
48,fistp
49,fisttp
50,fisub
51,fisubr
52,flat
53,fld
54,fldcw
55,fldpi
56,fldz
57,fmul
58,fnclex
59,fnsave
60,fnstcw
61,fnstsw
62,fst
63,fstcw
64,fstp
65,fstsw
66,fsub
67,fsubr
68,ftst
69,fucom
70,fucomi
71,fucomp
72,icebp
73,idiv
74,imul
75,in
76,inc
77,insd
78,int
79,into
80,ja
81,jb
82,jbe
83,jecxz
84,jg
85,jge
86,jl
87,jle
88,jmp
89,jnb
90,jno
91,jnp
92,jns
93,jnz
94,jo
95,jp
96,js
97,jz
98,lahf
99,ldmxcsr
100,lds
101,lea
102,leave
103,les
104,lfs
105,lock
106,lodsb
107,lodsd
108,loop
109,loope
110,mov
111,movsb
112,movsd
113,movsw
114,movsx
115,movzx
116,mul
117,neg
118,nop
119,not
120,or
121,out
122,outsd
123,packssdw
124,pop
125,popa
126,popf
127,psubusw
128,psubw
129,push
130,pusha
131,pushf
132,rcl
133,rcr
134,rep
135,repne
136,retf
137,retfw
138,retn
139,retnw
140,rol
141,ror
142,sahf
143,sal
144,sar
145,sbb
146,scasb
147,scasd
148,setalc
149,setl
150,setle
151,setnle
152,setnp
153,setnz
154,sets
155,setz
156,shl
157,shld
158,shr
159,shrd
160,st
161,stc
162,std
163,sti
164,stmxcsr
165,stosb
166,stosd
167,stosw
168,sub
169,test
170,unicode
171,wait
172,xchg
173,xlat
174,xor
